Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
592134,Fuenteolletas,venta,,Calle Obispo Alonso de la Cueva,"120,3 kW h/m&sup2; año",3 dorm.,178000,Málaga,1 baño,1,De época,,1962,Andalucía,e,es,2024-08-14 18:20:14,62.00
595921,Fuenteolletas,venta,,C. Tizo,"0089,00 kW h/m&sup2; año",2 dorm.,198000,Málaga,1 baño,3 (planta alta),Media,,1992,Andalucía,e,es,2024-09-26 11:44:11,87.00
479261,Fuenteolletas,venta,Sí,Av. Manuel Gorria,"149,9 kW h/m&sup2; año",2 dorm.,229000,Málaga,2 baños,9,Señorial,,1971,Andalucía,g,es,2024-06-14 10:17:02,74.00
580612,Fuenteolletas,venta,Sí,Alameda de Barceló,"86,50 kW h/m&sup2; año",2 dorm.,275000,Málaga,1 baño,5,Media,,1996,Andalucía,e,es,2024-09-13 10:23:38,113.00
587950,Fuenteolletas,venta,,Calle Amores,"70,31 kW h/m&sup2; año",2 dorm.,205000,Málaga,1 baño,1 (planta media),Media,,1992,Andalucía,e,es,2024-07-05 13:30:44,66.00
590760,Fuenteolletas,venta,,C. Tizo,"89,0 kW h/m&sup2; año",2 dorm.,190000,Málaga,1 baño,1 (planta baja),Media,,1992,Andalucía,e,es,2024-07-30 10:00:46,71.00
591130,Fuenteolletas,venta,,Calle obispo franquis lasso,"115,5 kW h/m&sup2; año",2 dorm.,82000,Málaga,1 baño,4,Media,,1964,Andalucía,e,es,2024-08-02 11:48:18,50.00
591760,Fuenteolletas,venta,,Calle Obispo Franquis Lasso,"130,3 kW h/m&sup2; año",2 dorm.,89000,Málaga,1 baño,3,Media,,1965,Andalucía,e,es,2024-09-03 11:58:18,49.00
590749,El Plantinar - Tiro De Linea,venta,,Calle naranco,,3 dorm.,165000,Sevilla,1 baño,2 (planta media),Media,,1963,Andalucía,,es,2024-07-29 17:24:50,76.00
592108,El Plantinar - Tiro De Linea,venta,,Pl. del Aljarafe,"189,29 kW h/m&sup2; año",3 dorm.,217260,Sevilla,1 baño,,Señorial,,1963,Andalucía,f,es,2024-08-20 14:43:55,90.00
592998,El Plantinar - Tiro De Linea,venta,,Av. de la Paz,"249,35 kW h/m&sup2; año",2 dorm.,142000,Sevilla,1 baño,3,Media,,1970,Andalucía,g,es,2024-08-28 17:25:47,67.00
589036,El Plantinar - Tiro De Linea,venta,,Av. de la Paz,,2 dorm.,166000,Sevilla,1 baño,1,Media,,1970,Andalucía,,es,2024-07-17 18:58:19,79.00
599787,Sevilla Este - Zona Este,venta,,Plaza de la Malagueta,,3 dorm.,190000,Sevilla,2 baños,2,Media,,1992,Andalucía,,es,2024-10-31 11:00:05,94.00
599720,Torreblanca,venta,,Calle Torres Naharro,,,62000,Sevilla,,Baja,Media,,1969,Andalucía,,es,2024-10-31 10:53:44,47.00
598093,Bami - Heliopolis - Bermejales - Bellavista,venta,Sí,Av. de Grecia,"165,30 kW h/m&sup2; año",4 dorm.,395000,Sevilla,2 baños,,Popular,,1999,Andalucía,e,es,2024-10-24 09:29:42,100.00
599239,Bami - Reina Mercedes - Pineda,venta,,C. Jandula,"39,78 kW h/m&sup2; año",4 dorm.,530000,Sevilla,2 baños,Alta,Señorial,centralizada,2019,Andalucía,c,es,2024-10-28 13:28:31,141.00
596746,San Jeronimo,venta,,C. Calamar,,2 dorm.,69900,Sevilla,1 baño,3,Popular,,1964,Andalucía,,es,2024-10-04 11:06:01,48.00
556854,Cerro Del Aguila,venta,Sí,C. José María de Pereda,"172,3 kW h/m&sup2; año",3 dorm.,144990,Sevilla,1 baño,3 (planta media),Media,,1975,Andalucía,e,es,2024-10-23 10:43:55,75.00
599686,Palmete - La Negrilla,venta,,Calle Solidaridad,,,115000,Sevilla,1 baño,,Media,Independiente,1986,Andalucía,,es,2024-10-30 12:53:34,106.00
597607,Macarena - La Salle - Begoña,venta,Sí,C. Orquídea,"345,82 kWh/m&sup2; año",2 dorm.,112000,Sevilla,1 baño,3,Popular,,1962,Andalucía,g,es,2024-10-30 11:25:24,59.00
575802,Palmete - La Negrilla,venta,,Calle Moriles,,,131000,Sevilla,2 baños,Media,Popular,,2004,Andalucía,,es,2024-10-30 10:50:43,132.00
363215,Nervion - San Pablo,venta,,C/Exaltación de Baco,"126,2 kW h/m&sup2; año",2 dorm.,96500,Sevilla,1 baño,,Media,,1964,Andalucía,e,es,2024-10-30 09:41:06,65.00
598760,Juncal - Ciudad Jardin - Tiro De Linea,venta,,C. Tambre,"130,3 kWh/m&sup2; año",,149900,Sevilla,,4,Media,,1964,Andalucía,e,es,2024-10-22 09:57:19,59.00
595390,Bombarda - Monsalud,venta,Sí,Calle Celanova,126 kWh/m&sup2; año,4 dorm.,199000,Zaragoza,2 baños,,Popular,centralizada,1986,Aragón,d,es,2024-10-14 11:44:17,108.00
598231,Oliver Y Valdefierro,venta,,Calle Vega,,2 dorm.,125000,Zaragoza,1 baño,,Media,Independiente (Gas),1997,Aragón,,es,2024-10-17 18:33:58,61.00
596901,Delicias,venta,Sí,Julian Sanz Ibañez,260 kWh/m&sup2; año,3 dorm.,169000,Zaragoza,2 baños,,Popular,Independiente,1980,Aragón,e,es,2024-10-14 11:29:04,88.00
